datetime,temperature_2m,relativehumidity_2m,apparent_temperature,shortwave_radiation,windspeed_10m,precipitation,pressure_msl
2026-01-01T00:00,20.4,97,23.0,0.0,8.1,0.0,997.9
2026-01-01T01:00,20.5,97,23.5,0.0,5.6,0.0,998.3
2026-01-01T02:00,21.5,93,24.7,46.0,5.9,0.0,999.4
2026-01-01T03:00,23.7,83,27.2,233.0,4.4,0.0,1000.4
2026-01-01T04:00,25.4,74,28.7,451.0,4.5,0.0,1000.8
2026-01-01T05:00,26.6,68,30.7,643.0,2.8,0.0,1000.5
2026-01-01T06:00,27.7,60,32.2,775.0,3.1,0.0,999.8
2026-01-01T07:00,28.3,57,32.2,833.0,7.8,0.0,998.6
2026-01-01T08:00,28.8,53,32.4,820.0,7.1,0.0,997.3
2026-01-01T09:00,29.5,47,31.8,739.0,8.5,0.0,996.3
2026-01-01T10:00,29.4,48,30.8,585.0,9.1,0.0,995.7
2026-01-01T11:00,28.9,50,30.1,394.0,9.3,0.0,995.3
2026-01-01T12:00,27.3,59,29.4,172.0,7.3,0.0,995.5
2026-01-01T13:00,26.2,63,26.9,15.0,16.4,0.0,996.3
2026-01-01T14:00,25.9,65,26.7,0.0,16.6,0.0,997.3
2026-01-01T15:00,25.2,70,26.2,0.0,17.1,0.0,998.1
2026-01-01T16:00,24.5,76,25.5,0.0,18.7,0.0,999.1
2026-01-01T17:00,23.8,80,25.2,0.0,17.3,0.0,999.2
2026-01-01T18:00,23.1,84,24.8,0.0,15.7,0.0,998.9
2026-01-01T19:00,22.5,87,24.6,0.0,13.2,0.0,998.6
2026-01-01T20:00,21.9,91,24.2,0.0,10.9,0.0,997.8
2026-01-01T21:00,21.3,93,24.0,0.0,8.5,0.0,997.1
2026-01-01T22:00,20.6,95,23.5,0.0,5.8,0.0,996.6
2026-01-01T23:00,19.7,98,22.6,0.0,4.2,0.0,996.9
2026-01-02T00:00,19.6,99,22.9,0.0,2.0,0.0,997.5
2026-01-02T01:00,19.9,100,23.4,0.0,1.5,0.0,998.2
2026-01-02T02:00,20.9,98,24.6,36.0,3.6,0.0,999.4
2026-01-02T03:00,23.0,90,26.7,193.0,5.0,0.0,1000.1
2026-01-02T04:00,24.4,81,28.2,411.0,3.3,0.3,1000.7
2026-01-02T05:00,25.7,73,29.1,587.0,6.4,0.0,1000.3
2026-01-02T06:00,26.9,66,30.6,714.0,8.0,0.0,999.6
2026-01-02T07:00,28.1,55,30.9,811.0,11.1,0.0,998.6
2026-01-02T08:00,28.6,50,30.2,786.0,14.6,0.0,997.4
2026-01-02T09:00,28.6,49,29.4,723.0,16.9,0.0,996.5
2026-01-02T10:00,28.7,49,28.7,577.0,17.5,0.0,996.0
2026-01-02T11:00,28.3,49,27.9,386.0,18.0,0.0,995.9
2026-01-02T12:00,26.5,56,26.3,163.0,18.8,0.0,996.5
2026-01-02T13:00,25.7,58,25.5,18.0,17.8,0.0,997.1
2026-01-02T14:00,24.8,63,25.1,0.0,15.0,0.0,998.0
2026-01-02T15:00,24.1,68,24.8,0.0,14.4,0.0,998.9
2026-01-02T16:00,23.7,70,24.4,0.0,14.8,0.0,999.6
2026-01-02T17:00,22.8,75,23.7,0.0,13.9,0.0,999.6
2026-01-02T18:00,22.1,78,23.1,0.0,13.2,0.0,999.6
2026-01-02T19:00,21.7,77,22.6,0.0,12.6,0.0,999.4
2026-01-02T20:00,21.4,77,22.4,0.0,10.5,0.0,998.4
2026-01-02T21:00,20.8,79,22.2,0.0,7.2,0.0,997.7
2026-01-02T22:00,20.0,84,21.9,0.0,4.6,0.0,997.1
2026-01-02T23:00,19.6,89,21.9,0.0,2.7,0.0,997.3
2026-01-03T00:00,18.9,91,20.8,0.0,5.1,0.0,997.6
2026-01-03T01:00,19.2,95,21.5,0.0,5.0,0.0,998.8
2026-01-03T02:00,20.7,90,22.8,46.0,8.1,0.0,1000.0
2026-01-03T03:00,22.8,81,25.6,236.0,4.9,0.0,1000.9
2026-01-03T04:00,24.4,74,27.6,456.0,2.6,0.0,1001.3
2026-01-03T05:00,25.8,67,28.9,656.0,6.5,0.0,1000.6
2026-01-03T06:00,26.7,62,30.3,741.0,5.6,0.0,1000.2
2026-01-03T07:00,27.5,57,31.1,792.0,5.7,0.0,999.1
2026-01-03T08:00,28.2,52,30.9,788.0,8.8,0.0,998.0
2026-01-03T09:00,28.6,48,30.1,724.0,11.7,0.0,996.9
2026-01-03T10:00,28.8,47,28.9,596.0,15.3,0.0,996.2
2026-01-03T11:00,28.0,49,27.3,402.0,19.8,0.0,995.7
2026-01-03T12:00,26.2,57,25.7,182.0,20.3,0.0,996.0
2026-01-03T13:00,25.5,60,25.5,19.0,17.1,0.0,996.9
2026-01-03T14:00,24.6,65,25.4,0.0,13.0,0.0,997.7
2026-01-03T15:00,23.8,72,24.9,0.0,13.1,0.0,998.6
2026-01-03T16:00,23.0,77,24.1,0.0,14.3,0.0,998.9
2026-01-03T17:00,22.1,77,23.0,0.0,13.2,0.0,998.9
2026-01-03T18:00,21.3,79,22.3,0.0,11.7,0.0,998.6
2026-01-03T19:00,20.8,81,21.9,0.0,10.7,0.0,998.2
2026-01-03T20:00,20.4,83,21.5,0.0,9.8,0.0,997.5
2026-01-03T21:00,19.9,85,21.2,0.0,8.8,0.0,997.0
2026-01-03T22:00,19.3,88,20.9,0.0,7.1,0.0,996.7
2026-01-03T23:00,18.4,93,20.2,0.0,5.2,0.0,996.9
2026-01-04T00:00,18.1,93,20.1,0.0,2.8,0.0,997.3
2026-01-04T01:00,19.3,94,21.5,0.0,5.8,0.0,998.1
2026-01-04T02:00,19.9,93,22.2,46.0,6.5,0.0,999.4
2026-01-04T03:00,22.3,84,25.2,241.0,4.3,0.0,1000.3
2026-01-04T04:00,24.3,70,26.4,465.0,6.9,0.0,1000.4
2026-01-04T05:00,25.7,60,27.9,655.0,6.8,0.0,1000.1
2026-01-04T06:00,26.9,55,28.9,782.0,12.5,0.0,999.3
2026-01-04T07:00,27.5,52,28.8,696.0,12.6,0.0,998.0
2026-01-04T08:00,28.1,51,30.2,771.0,11.3,0.0,996.6
2026-01-04T09:00,28.5,50,30.2,737.0,12.4,0.0,995.6
2026-01-04T10:00,28.3,50,28.8,580.0,14.4,0.0,995.1
2026-01-04T11:00,27.6,52,27.9,388.0,14.1,0.0,995.3
2026-01-04T12:00,26.6,57,28.0,179.0,8.1,0.0,995.8
2026-01-04T13:00,24.4,66,26.0,20.0,7.1,0.0,996.4
2026-01-04T14:00,24.0,70,25.9,0.0,7.7,0.0,997.4
2026-01-04T15:00,23.7,72,25.2,0.0,10.2,0.0,998.2
2026-01-04T16:00,23.2,75,24.4,0.0,12.8,0.0,998.7
2026-01-04T17:00,22.4,81,24.0,0.0,11.9,0.0,998.9
2026-01-04T18:00,21.7,84,23.5,0.0,10.4,0.0,998.7
2026-01-04T19:00,21.2,85,22.7,0.0,11.1,0.0,998.1
2026-01-04T20:00,20.8,86,22.2,0.0,10.9,0.0,997.6
2026-01-04T21:00,20.5,87,21.9,0.0,10.5,0.0,997.2
2026-01-04T22:00,20.2,88,21.9,0.0,8.4,0.0,996.9
2026-01-04T23:00,19.3,92,21.3,0.0,5.4,0.0,997.2
2026-01-05T00:00,19.1,92,21.4,0.0,3.1,0.0,997.5
2026-01-05T01:00,19.9,96,22.8,0.0,4.5,0.0,998.4
2026-01-05T02:00,20.8,93,23.5,39.0,6.1,0.0,999.2
2026-01-05T03:00,22.9,85,26.0,217.0,5.4,0.0,1000.1
2026-01-05T04:00,24.6,73,27.3,454.0,6.0,0.0,1000.5
2026-01-05T05:00,26.0,62,28.4,628.0,6.9,0.0,1000.3
2026-01-05T06:00,27.0,57,30.2,784.0,7.1,0.0,999.5
2026-01-05T07:00,27.7,52,31.0,835.0,6.4,0.0,998.3
2026-01-05T08:00,28.1,49,30.9,807.0,6.8,0.0,997.3
2026-01-05T09:00,28.2,48,30.1,706.0,7.4,0.0,996.0
2026-01-05T10:00,28.1,48,29.3,588.0,7.4,0.0,995.4
2026-01-05T11:00,27.6,50,28.7,407.0,7.2,0.0,995.4
2026-01-05T12:00,26.0,61,28.0,189.0,5.8,0.0,995.7
2026-01-05T13:00,25.0,62,27.4,21.0,1.1,0.0,996.2
2026-01-05T14:00,24.4,63,26.2,0.0,3.4,0.0,997.1
2026-01-05T15:00,23.0,68,24.5,0.0,6.2,0.0,997.9
2026-01-05T16:00,22.1,74,23.6,0.0,7.4,0.0,998.7
2026-01-05T17:00,22.3,77,23.5,0.0,11.6,0.0,999.4
2026-01-05T18:00,21.7,83,23.3,0.0,10.8,0.0,998.8
2026-01-05T19:00,21.2,86,22.9,0.0,10.6,0.0,998.1
2026-01-05T20:00,20.8,88,22.4,0.0,11.3,0.0,997.5
2026-01-05T21:00,20.7,89,22.4,0.0,10.9,0.0,996.8
2026-01-05T22:00,20.4,90,22.6,0.0,6.8,0.0,996.5
2026-01-05T23:00,19.8,91,22.6,0.0,1.9,0.0,996.7
2026-01-06T00:00,19.4,93,22.2,0.0,0.7,0.0,997.3
2026-01-06T01:00,19.5,100,22.6,0.0,3.6,0.0,997.9
2026-01-06T02:00,20.6,98,23.9,42.0,4.8,0.0,998.9
2026-01-06T03:00,22.6,87,26.0,220.0,3.7,0.0,1000.0
2026-01-06T04:00,24.2,77,27.5,441.0,3.4,0.0,1000.5
2026-01-06T05:00,25.6,68,28.6,615.0,5.5,0.0,1000.0
2026-01-06T06:00,26.6,62,30.1,739.0,6.1,0.0,999.2
2026-01-06T07:00,27.3,58,31.1,792.0,5.7,0.0,998.1
2026-01-06T08:00,27.8,54,31.3,763.0,4.6,0.0,996.8
2026-01-06T09:00,28.1,51,30.8,696.0,4.5,0.0,996.0
2026-01-06T10:00,28.1,50,29.6,560.0,5.9,0.0,995.6
2026-01-06T11:00,27.5,51,28.5,400.0,8.8,0.0,995.4
2026-01-06T12:00,26.2,58,27.5,188.0,8.2,0.0,995.7
2026-01-06T13:00,24.3,65,25.8,21.0,6.6,0.0,996.3
2026-01-06T14:00,23.3,68,24.7,0.0,7.4,0.0,997.3
2026-01-06T15:00,22.1,71,23.5,0.0,6.3,0.0,997.9
2026-01-06T16:00,21.1,75,22.5,0.0,5.7,0.0,998.2
2026-01-06T17:00,20.7,77,22.3,0.0,3.9,0.0,998.2
2026-01-06T18:00,20.2,79,21.7,0.0,4.8,0.0,998.0
2026-01-06T19:00,19.9,81,21.3,0.0,5.9,0.0,997.6
2026-01-06T20:00,19.6,84,21.2,0.0,5.8,0.0,997.4
2026-01-06T21:00,19.2,90,21.1,0.0,5.2,0.0,996.9
2026-01-06T22:00,18.8,93,20.9,0.0,4.3,0.0,996.5
2026-01-06T23:00,18.7,93,21.1,0.0,2.1,0.0,996.5
2026-01-07T00:00,18.8,92,21.3,0.0,1.0,0.0,997.0
2026-01-07T01:00,19.3,100,22.2,0.0,3.5,0.0,997.7
2026-01-07T02:00,20.0,98,23.2,35.0,3.9,0.0,998.8
2026-01-07T03:00,22.6,88,26.2,212.0,3.7,0.0,999.8
2026-01-07T04:00,24.6,77,27.7,444.0,6.5,0.0,1000.0
2026-01-07T05:00,26.0,70,28.9,564.0,7.5,0.0,999.7
2026-01-07T06:00,27.0,65,30.3,616.0,5.8,0.0,998.8
2026-01-07T07:00,28.1,60,31.7,704.0,6.6,0.0,997.7
2026-01-07T08:00,28.3,60,31.4,650.0,8.1,0.0,996.5
2026-01-07T09:00,28.8,57,31.5,534.0,6.2,0.0,995.4
2026-01-07T10:00,28.1,61,30.6,336.0,8.7,0.0,994.9
2026-01-07T11:00,28.0,63,30.6,370.0,9.3,0.0,994.9
2026-01-07T12:00,27.1,69,30.4,173.0,6.3,0.0,995.1
2026-01-07T13:00,25.6,75,28.7,20.0,7.6,0.0,995.5
2026-01-07T14:00,25.1,77,27.8,0.0,10.7,0.0,996.4
2026-01-07T15:00,24.6,80,27.0,0.0,13.5,0.0,997.0
2026-01-07T16:00,23.9,86,26.5,0.0,13.1,0.0,997.5
2026-01-07T17:00,23.2,88,25.8,0.0,13.0,0.0,997.6
2026-01-07T18:00,22.7,91,25.3,0.0,12.7,0.0,997.4
2026-01-07T19:00,22.3,93,24.9,0.0,12.1,0.0,997.1
2026-01-07T20:00,21.9,96,24.8,0.0,11.1,0.0,996.7
2026-01-07T21:00,21.7,97,24.7,0.0,9.7,0.0,996.0
2026-01-07T22:00,21.3,98,24.7,0.0,6.2,0.0,995.9
2026-01-07T23:00,20.6,99,24.1,0.0,3.8,0.0,995.8
2026-01-08T00:00,20.6,100,24.2,0.0,3.1,0.0,996.4
2026-01-08T01:00,21.9,95,25.4,0.0,5.2,0.1,997.2
2026-01-08T02:00,22.4,94,26.5,27.0,2.7,0.0,998.2
2026-01-08T03:00,23.5,86,27.0,195.0,6.5,0.0,999.2
2026-01-08T04:00,24.6,81,28.1,375.0,6.0,0.1,999.6
2026-01-08T05:00,26.1,71,29.3,542.0,6.1,0.0,999.4
2026-01-08T06:00,27.3,64,31.0,702.0,7.5,0.1,998.4
2026-01-08T07:00,28.0,62,31.8,736.0,7.6,0.0,997.0
2026-01-08T08:00,28.4,59,32.5,756.0,6.0,0.0,996.2
2026-01-08T09:00,28.2,60,31.4,623.0,6.3,0.1,995.5
2026-01-08T10:00,28.0,60,30.6,505.0,6.4,0.0,995.0
2026-01-08T11:00,28.3,57,30.8,374.0,6.4,0.0,994.7
2026-01-08T12:00,27.6,62,30.2,178.0,7.2,0.0,995.3
2026-01-08T13:00,25.7,70,28.4,21.0,7.0,0.0,995.9
2026-01-08T14:00,25.5,64,26.4,0.0,13.6,0.0,996.7
2026-01-08T15:00,25.0,58,24.8,0.0,15.3,0.0,997.2
2026-01-08T16:00,24.2,64,23.9,0.0,18.8,0.0,997.7
2026-01-08T17:00,23.1,73,23.2,0.0,18.6,0.0,998.1
2026-01-08T18:00,22.4,75,22.5,0.0,18.2,0.0,997.8
2026-01-08T19:00,22.0,77,22.1,0.0,18.0,0.0,997.5
2026-01-08T20:00,21.7,77,21.9,0.0,17.2,0.0,997.0
2026-01-08T21:00,21.3,77,21.8,0.0,14.2,0.0,996.6
2026-01-08T22:00,20.7,81,21.9,0.0,9.4,0.0,996.5
2026-01-08T23:00,19.7,88,21.9,0.0,3.6,0.0,996.9
2026-01-09T00:00,19.5,89,22.2,0.0,0.5,0.0,997.3
2026-01-09T01:00,20.1,94,23.1,0.0,2.4,0.0,998.2
2026-01-09T02:00,20.8,91,24.2,39.0,0.6,0.0,998.9
2026-01-09T03:00,22.7,82,25.6,219.0,4.0,0.0,999.9
2026-01-09T04:00,24.2,74,27.2,442.0,2.7,0.0,1000.3
2026-01-09T05:00,25.4,65,28.3,634.0,5.0,0.0,999.8
2026-01-09T06:00,26.5,59,29.2,770.0,9.2,0.0,998.9
2026-01-09T07:00,27.3,55,30.1,831.0,10.2,0.0,997.9
2026-01-09T08:00,28.2,51,30.4,812.0,11.9,0.0,996.6
2026-01-09T09:00,28.7,49,29.9,700.0,13.7,0.0,995.8
2026-01-09T10:00,28.8,48,29.1,502.0,13.4,0.0,995.6
2026-01-09T11:00,26.9,58,27.3,166.0,16.6,0.0,996.1
2026-01-09T12:00,26.6,61,27.5,124.0,14.4,0.0,996.4
2026-01-09T13:00,25.8,64,27.1,13.0,12.8,0.0,997.5
2026-01-09T14:00,25.5,66,26.6,0.0,14.3,0.0,998.6
2026-01-09T15:00,24.6,70,25.8,0.0,13.8,0.0,999.5
2026-01-09T16:00,24.1,73,25.5,0.0,12.8,0.0,1000.2
2026-01-09T17:00,23.7,73,24.9,0.0,13.4,0.0,1000.5
2026-01-09T18:00,23.2,71,24.1,0.0,12.9,0.0,1000.1
